domain,path,label,dim
altreel.blogspot.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\altreel.blogspot.com,entertainment,2560
amda.edu,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\amda.edu,entertainment,2560
archivum.info,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\archivum.info,entertainment,2560
aronofksy.tripod.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\aronofksy.tripod.com,entertainment,2560
articles.dhwritings.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\articles.dhwritings.com,entertainment,2560
ashotinthedarkthepinkpanther.yuku.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\ashotinthedarkthepinkpanther.yuku.com,entertainment,2560
ashtabs.tripod.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\ashtabs.tripod.com,entertainment,2560
backtrax.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\backtrax.com,entertainment,2560
barbra-archives.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\barbra-archives.com,entertainment,2560
bayareastunts.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\bayareastunts.com,entertainment,2560
beastieboys.tumblr.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\beastieboys.tumblr.com,entertainment,2560
beyondradio.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\beyondradio.com,entertainment,2560
bighornmountainfestival.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\bighornmountainfestival.com,entertainment,2560
bigspeegs124.tripod.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\bigspeegs124.tripod.com,entertainment,2560
billbrownmusic.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\billbrownmusic.com,entertainment,2560
biotic.blogspot.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\biotic.blogspot.com,entertainment,2560
bismarckmandansymphony.org,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\bismarckmandansymphony.org,entertainment,2560
blackledgemusic.tripod.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\blackledgemusic.tripod.com,entertainment,2560
blog.cmt.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\blog.cmt.com,entertainment,2560
blog.zap2it.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\blog.zap2it.com,entertainment,2560
bloodymannequinorchestra.blogspot.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\bloodymannequinorchestra.blogspot.com,entertainment,2560
blottostreet.comicgenesis.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\blottostreet.comicgenesis.com,entertainment,2560
bluedogs.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\bluedogs.com,entertainment,2560
bluemoonrising.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\bluemoonrising.com,entertainment,2560
borzykowski.users.ch,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\borzykowski.users.ch,entertainment,2560
brazilnut0.tripod.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\brazilnut0.tripod.com,entertainment,2560
bridgingtheatlantic.blogspot.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\bridgingtheatlantic.blogspot.com,entertainment,2560
bt.etree.org,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\bt.etree.org,entertainment,2560
casescontact.org,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\casescontact.org,entertainment,2560
castlehillagency.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\castlehillagency.com,entertainment,2560
ccwindsymphony.org,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\ccwindsymphony.org,entertainment,2560
centralvalleybluesfestival.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\centralvalleybluesfestival.com,entertainment,2560
cheats.hype.se,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\cheats.hype.se,entertainment,2560
chriskline.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\chriskline.com,entertainment,2560
cinemaetcetera.blogspot.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\cinemaetcetera.blogspot.com,entertainment,2560
cjremsburg.tripod.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\cjremsburg.tripod.com,entertainment,2560
clananalogue.org,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\clananalogue.org,entertainment,2560
cleancomedians.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\cleancomedians.com,entertainment,2560
clubfreestyle.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\clubfreestyle.com,entertainment,2560
cocktailrev.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\cocktailrev.com,entertainment,2560
comedycollege.publicradio.org,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\comedycollege.publicradio.org,entertainment,2560
comedycollegeinfo.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\comedycollegeinfo.com,entertainment,2560
comicstripelpaso.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\comicstripelpaso.com,entertainment,2560
compassrecords.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\compassrecords.com,entertainment,2560
copyleftandroll.blogspot.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\copyleftandroll.blogspot.com,entertainment,2560
crazy4bsb5.tripod.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\crazy4bsb5.tripod.com,entertainment,2560
crazymonkiegirl.tripod.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\crazymonkiegirl.tripod.com,entertainment,2560
cubensis.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\cubensis.com,entertainment,2560
dancefan.blogspot.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\dancefan.blogspot.com,entertainment,2560
dancetoqueen.akada.net,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\dancetoqueen.akada.net,entertainment,2560
dancevibes.be,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\dancevibes.be,entertainment,2560
darkroom05.tripod.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\darkroom05.tripod.com,entertainment,2560
davehawkinsmusic.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\davehawkinsmusic.com,entertainment,2560
daverusso.net,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\daverusso.net,entertainment,2560
davidogdenstiers.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\davidogdenstiers.com,entertainment,2560
de.chris-de-burgh.co.uk,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\de.chris-de-burgh.co.uk,entertainment,2560
dedbugs.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\dedbugs.com,entertainment,2560
dejablues.homestead.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\dejablues.homestead.com,entertainment,2560
designermagazine.tripod.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\designermagazine.tripod.com,entertainment,2560
dessicatedcoconut.tripod.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\dessicatedcoconut.tripod.com,entertainment,2560
dexter-freebish.tripod.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\dexter-freebish.tripod.com,entertainment,2560
digital.lionking.org,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\digital.lionking.org,entertainment,2560
dotsandspaces.typepad.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\dotsandspaces.typepad.com,entertainment,2560
drunkengoddess69.tripod.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\drunkengoddess69.tripod.com,entertainment,2560
dublincityramblers.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\dublincityramblers.com,entertainment,2560
duffmckaganonline.tripod.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\duffmckaganonline.tripod.com,entertainment,2560
duranduran.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\duranduran.com,entertainment,2560
dvd.box.sk,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\dvd.box.sk,entertainment,2560
eaglestributeband.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\eaglestributeband.com,entertainment,2560
ecomovies.blogspot.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\ecomovies.blogspot.com,entertainment,2560
egdaily.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\egdaily.com,entertainment,2560
electricboys.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\electricboys.com,entertainment,2560
elranchoandozoner29.tripod.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\elranchoandozoner29.tripod.com,entertainment,2560
elsew.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\elsew.com,entertainment,2560
emol.org,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\emol.org,entertainment,2560
euroclash.de,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\euroclash.de,entertainment,2560
evobluestein.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\evobluestein.com,entertainment,2560
factsoflifeshow.tripod.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\factsoflifeshow.tripod.com,entertainment,2560
famenetwork.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\famenetwork.com,entertainment,2560
fier.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\fier.com,entertainment,2560
fightingirishman.blogspot.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\fightingirishman.blogspot.com,entertainment,2560
film-buff.tripod.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\film-buff.tripod.com,entertainment,2560
filmsound.org,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\filmsound.org,entertainment,2560
findadeath.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\findadeath.com,entertainment,2560
flamindickandthehotrods.homestead.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\flamindickandthehotrods.homestead.com,entertainment,2560
fleetingjoy.fishbucket.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\fleetingjoy.fishbucket.com,entertainment,2560
flook.co.uk,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\flook.co.uk,entertainment,2560
focusmediaconcepts.blogspot.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\focusmediaconcepts.blogspot.com,entertainment,2560
fromthetop.org,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\fromthetop.org,entertainment,2560
fugues.vortex.qc.ca,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\fugues.vortex.qc.ca,entertainment,2560
funmunch.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\funmunch.com,entertainment,2560
galactic-voyage.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\galactic-voyage.com,entertainment,2560
galvanizedjazz.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\galvanizedjazz.com,entertainment,2560
gaumontpathearchives.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\gaumontpathearchives.com,entertainment,2560
geeked.ejwsites.net,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\geeked.ejwsites.net,entertainment,2560
geezermusicclub.wordpress.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\geezermusicclub.wordpress.com,entertainment,2560
globallysy.tripod.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\globallysy.tripod.com,entertainment,2560
gogomag.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\gogomag.com,entertainment,2560
goldenroadstudios.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\goldenroadstudios.com,entertainment,2560
greattalent.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\greattalent.com,entertainment,2560
greenbriarpictureshows.blogspot.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\greenbriarpictureshows.blogspot.com,entertainment,2560
gust.tv,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\gust.tv,entertainment,2560
haldensound.blogspot.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\haldensound.blogspot.com,entertainment,2560
hangovers.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\hangovers.com,entertainment,2560
haydenfannews.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\haydenfannews.com,entertainment,2560
hazeleyezmuzic.tripod.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\hazeleyezmuzic.tripod.com,entertainment,2560
hedwigflorida.tripod.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\hedwigflorida.tripod.com,entertainment,2560
hetfield.tarsierjungle.net,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\hetfield.tarsierjungle.net,entertainment,2560
hikki.blogspot.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\hikki.blogspot.com,entertainment,2560
hof.slidersweb.net,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\hof.slidersweb.net,entertainment,2560
iamsittinginaroom.blogspot.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\iamsittinginaroom.blogspot.com,entertainment,2560
icradio.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\icradio.com,entertainment,2560
iheartpolyphony.blogspot.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\iheartpolyphony.blogspot.com,entertainment,2560
ijoke4u.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\ijoke4u.com,entertainment,2560
imagz.blogspot.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\imagz.blogspot.com,entertainment,2560
indyweek.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\indyweek.com,entertainment,2560
infotivity.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\infotivity.com,entertainment,2560
inlandstorytellers.org,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\inlandstorytellers.org,entertainment,2560
inscenes.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\inscenes.com,entertainment,2560
intoforever.org,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\intoforever.org,entertainment,2560
invertichix.tripod.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\invertichix.tripod.com,entertainment,2560
jackyl.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\jackyl.com,entertainment,2560
jacobssound.tripod.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\jacobssound.tripod.com,entertainment,2560
jakelaufer.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\jakelaufer.com,entertainment,2560
jasonconnery.tripod.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\jasonconnery.tripod.com,entertainment,2560
jbreitling.blogspot.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\jbreitling.blogspot.com,entertainment,2560
jeffreydugong.blogspot.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\jeffreydugong.blogspot.com,entertainment,2560
jennaelfman.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\jennaelfman.com,entertainment,2560
jenniferehle.blogspot.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\jenniferehle.blogspot.com,entertainment,2560
jeremiahjacobs.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\jeremiahjacobs.com,entertainment,2560
jerryspringertv.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\jerryspringertv.com,entertainment,2560
jim.broadbent.org,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\jim.broadbent.org,entertainment,2560
jojofiles.blogspot.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\jojofiles.blogspot.com,entertainment,2560
jonanderson.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\jonanderson.com,entertainment,2560
kanm.tamu.edu,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\kanm.tamu.edu,entertainment,2560
kasiandra.livejournal.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\kasiandra.livejournal.com,entertainment,2560
kcimprov.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\kcimprov.com,entertainment,2560
keithlenart.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\keithlenart.com,entertainment,2560
kinison.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\kinison.com,entertainment,2560
kipplezone.tripod.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\kipplezone.tripod.com,entertainment,2560
kizn.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\kizn.com,entertainment,2560
kwiebusch.blogspot.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\kwiebusch.blogspot.com,entertainment,2560
legends.disney.go.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\legends.disney.go.com,entertainment,2560
lfnforever.tripod.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\lfnforever.tripod.com,entertainment,2560
lifesongs.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\lifesongs.com,entertainment,2560
littlefeat.net,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\littlefeat.net,entertainment,2560
lonelynote.blogspot.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\lonelynote.blogspot.com,entertainment,2560
lostsoles.tripod.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\lostsoles.tripod.com,entertainment,2560
macomberproductions.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\macomberproductions.com,entertainment,2560
macostation.tripod.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\macostation.tripod.com,entertainment,2560
magnum-mania.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\magnum-mania.com,entertainment,2560
makingthevideo.mtv.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\makingthevideo.mtv.com,entertainment,2560
maksimchmerkovskiy.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\maksimchmerkovskiy.com,entertainment,2560
mali-music.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\mali-music.com,entertainment,2560
maradydd.livejournal.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\maradydd.livejournal.com,entertainment,2560
marknorthey.homestead.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\marknorthey.homestead.com,entertainment,2560
marycoppin.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\marycoppin.com,entertainment,2560
masscorporation.blogspot.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\masscorporation.blogspot.com,entertainment,2560
mcfilmfest.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\mcfilmfest.com,entertainment,2560
mcusiman.tripod.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\mcusiman.tripod.com,entertainment,2560
mediaforum.mediaartlab.ru,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\mediaforum.mediaartlab.ru,entertainment,2560
medusadrums.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\medusadrums.com,entertainment,2560
meinte-film.blogspot.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\meinte-film.blogspot.com,entertainment,2560
mic-to-mic.blogspot.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\mic-to-mic.blogspot.com,entertainment,2560
michelelafong.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\michelelafong.com,entertainment,2560
millhillmusicfest.co.uk,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\millhillmusicfest.co.uk,entertainment,2560
mlab.taik.fi,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\mlab.taik.fi,entertainment,2560
moliere-in-english.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\moliere-in-english.com,entertainment,2560
moonbeam.net,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\moonbeam.net,entertainment,2560
motorcityjosh.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\motorcityjosh.com,entertainment,2560
movieprop.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\movieprop.com,entertainment,2560
mst3k.wayfellows.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\mst3k.wayfellows.com,entertainment,2560
muppetnewsflash.blogspot.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\muppetnewsflash.blogspot.com,entertainment,2560
music.depaul.edu,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\music.depaul.edu,entertainment,2560
musicalassumptions.blogspot.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\musicalassumptions.blogspot.com,entertainment,2560
musicchain.tripod.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\musicchain.tripod.com,entertainment,2560
musiclub.web.cern.ch,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\musiclub.web.cern.ch,entertainment,2560
musicmavericks.publicradio.org,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\musicmavericks.publicradio.org,entertainment,2560
musicrhapsody.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\musicrhapsody.com,entertainment,2560
musicroomonline.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\musicroomonline.com,entertainment,2560
mwe3.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\mwe3.com,entertainment,2560
myfavoritebullet.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\myfavoritebullet.com,entertainment,2560
natosongs.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\natosongs.com,entertainment,2560
neilinnes.org,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\neilinnes.org,entertainment,2560
